Resultats per municipi - 2017

;;;;;;;;;;;;;;;;Ciutadans-Partido de la Ciudadanía (C's);;Junts per Catalunya (JUNTSxCAT);;Esquerra Republicana-Catalunya Sí (ERC-CatSí);;Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);;Catalunya en Comú-Podem (CatComú-Podem);;Candidatura d'Unitat Popular (CUP);;Partit Popular / Partido Popular (PP);;Partit Animalista contra el Maltractament Animal (PACMA);;Recortes Cero-Grupo Verde (RECORTES CERO-GRUPO VERDE);;Per un Món Més Just (PU M+J);;Diàleg Republicà (Candidatura retirada) (DIÀLEG (C. RETIRADA));;
Codi circumscripció;Codi municipi;Nom municipi;Cens electoral;Votants;% votants;Abstenció;% abstenció;Vots nuls;% vots nuls;Vots en blanc;% vots en blanc; Vots a candidatures;% vots a candidatures;Vots vàlids;% vots vàlids;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Codi comarca;Nom comarca;
08;017;Balenyà                                           ;     2.783;     2.371;085,20;       412;014,80;         7;000,30;        18;000,76;     2.346;098,95;     2.364;099,70;       400;016,92;       904;038,24;       564;023,86;       206;008,71;       100;004,23;       106;004,48;        42;001,78;        19;000,80;         5;000,21;         0;000,00;         0;000,00;24;Osona                                   ;
08;018;Balsareny                                         ;     2.592;     2.160;083,33;       432;016,67;        10;000,46;        11;000,51;     2.139;099,03;     2.150;099,54;       459;021,35;       632;029,40;       526;024,47;       232;010,79;       128;005,95;       112;005,21;        34;001,58;        16;000,74;         0;000,00;         0;000,00;         0;000,00;07;Bages                                   ;
08;019;Barcelona                                         ; 1.125.838;   918.695;081,60;   207.143;018,40;     2.594;000,28;     3.772;000,41;   912.329;099,31;   916.101;099,72;   219.542;023,96;   179.151;019,56;   191.588;020,91;   132.742;014,49;    85.351;009,32;    48.446;005,29;    46.225;005,05;     7.146;000,78;     2.138;000,23;         0;000,00;         0;000,00;13;Barcelonès                              ;
08;020;Begues                                            ;     5.031;     4.381;087,08;       650;012,92;        14;000,32;        16;000,37;     4.351;099,32;     4.367;099,68;       962;022,03;     1.057;024,20;     1.168;026,75;       468;010,72;       320;007,33;       238;005,45;        90;002,06;        42;000,96;         6;000,14;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;021;Bellprat                                          ;        68;        59;086,76;         9;013,24;         3;005,08;         0;000,00;        56;094,92;        56;094,92;        10;017,86;        22;039,29;        13;023,21;         4;007,14;         2;003,57;         3;005,36;         2;003,57;         0;000,00;         0;000,00;         0;000,00;         0;000,00;06;Anoia                                   ;
08;022;Berga                                             ;    12.192;     9.930;081,45;     2.262;018,55;        41;000,41;        36;000,36;     9.853;099,22;     9.889;099,59;     1.012;010,23;     4.047;040,92;     2.750;027,81;       630;006,37;       314;003,18;       803;008,12;       244;002,47;        43;000,43;        10;000,10;         0;000,00;         0;000,00;14;Berguedà                                ;
08;023;Bigues i Riells                                   ;     6.800;     5.724;084,18;     1.076;015,82;        34;000,59;        25;000,44;     5.665;098,97;     5.690;099,41;     1.411;024,80;     1.300;022,85;     1.527;026,84;       554;009,74;       373;006,56;       258;004,53;       175;003,08;        54;000,95;        13;000,23;         0;000,00;         0;000,00;41;Vallès Oriental                         ;
08;024;Borredà                                           ;       369;       315;085,37;        54;014,63;         0;000,00;         1;000,32;       314;099,68;       315;100,00;        19;006,03;       161;051,11;        69;021,90;        24;007,62;         5;001,59;        29;009,21;         6;001,90;         1;000,32;         0;000,00;         0;000,00;         0;000,00;14;Berguedà                                ;
08;025;Bruc, el                                          ;     1.501;     1.272;084,74;       229;015,26;         4;000,31;        10;000,79;     1.258;098,90;     1.268;099,69;       220;017,35;       301;023,74;       351;027,68;       111;008,75;       101;007,97;       125;009,86;        40;003,15;         6;000,47;         3;000,24;         0;000,00;         0;000,00;06;Anoia                                   ;
08;026;Brull, el                                         ;       183;       167;091,26;        16;008,74;         0;000,00;         1;000,60;       166;099,40;       167;100,00;         7;004,19;       103;061,68;        33;019,76;         1;000,60;         2;001,20;        15;008,98;         4;002,40;         1;000,60;         0;000,00;         0;000,00;         0;000,00;24;Osona                                   ;
08;027;Cabanyes, les                                     ;       696;       606;087,07;        90;012,93;         2;000,33;         1;000,17;       603;099,50;       604;099,67;       100;016,56;       220;036,42;       144;023,84;        54;008,94;        30;004,97;        37;006,13;        15;002,48;         3;000,50;         0;000,00;         0;000,00;         0;000,00;03;Alt Penedès                             ;
08;028;Cabrera d'Anoia                                   ;     1.033;       796;077,06;       237;022,94;         3;000,38;         3;000,38;       790;099,25;       793;099,62;       230;029,00;       111;014,00;       179;022,57;       136;017,15;        57;007,19;        33;004,16;        27;003,40;        10;001,26;         7;000,88;         0;000,00;         0;000,00;06;Anoia                                   ;
